,_id,ltable_id,rtable_id,id_id_exm,id_id_anm,id_id_lev_dist,id_id_lev_sim,Artist_Name_Artist_Name_jac_qgm_3_qgm_3,Artist_Name_Artist_Name_cos_dlm_dc0_dlm_dc0,Artist_Name_Artist_Name_jac_dlm_dc0_dlm_dc0,Artist_Name_Artist_Name_mel,Artist_Name_Artist_Name_lev_dist,Artist_Name_Artist_Name_lev_sim,Artist_Name_Artist_Name_nmw,Artist_Name_Artist_Name_sw,Released_Released_exm,Released_Released_anm,Released_Released_lev_dist,Released_Released_lev_sim,label,predicted_labels
0,0,161,17351,0,0.009279004091983123,3,0.4,1.0,1.0,1.0,1.0,0.0,1.0,12.0,12.0,1,1.0,0.0,1.0,-1,1
1,1,176,17351,0,0.010143507578813882,3,0.4,0.0,0.0,0.0,0.5444444417953491,10.0,0.16666666666666663,2.0,3.0,1,1.0,0.0,1.0,-1,0
2,2,191,44962,0,0.004248031671189034,4,0.19999999999999996,0.0,0.0,0.0,0.5848484635353088,10.0,0.09090909090909094,-1.0,2.0,0,0.9855577689243028,4.0,0.0,-1,0
3,3,245,75894,0,0.0032281866814241056,5,0.0,0.03225806451612903,0.0,0.0,0.4414529800415039,14.0,0.06666666666666665,-1.0,2.0,0,0.9895678092399404,4.0,0.0,-1,0
4,4,246,75894,0,0.0032413629535931188,5,0.0,0.03225806451612903,0.0,0.0,0.4414529800415039,14.0,0.06666666666666665,-1.0,2.0,0,0.9895678092399404,4.0,0.0,-1,0
5,5,247,75894,0,0.003254539225762243,5,0.0,0.03225806451612903,0.0,0.0,0.4414529800415039,14.0,0.06666666666666665,-1.0,2.0,0,0.9895678092399404,4.0,0.0,-1,0
6,6,257,75894,0,0.003386301947453041,4,0.19999999999999996,0.03225806451612903,0.0,0.0,0.4414529800415039,14.0,0.06666666666666665,-1.0,2.0,0,0.9895678092399404,4.0,0.0,-1,0
7,7,259,75894,0,0.0034126544917911783,3,0.4,0.03225806451612903,0.0,0.0,0.4414529800415039,14.0,0.06666666666666665,-1.0,2.0,0,0.9895678092399404,4.0,0.0,-1,0
8,8,281,75894,0,0.0037025324795109116,4,0.19999999999999996,0.03225806451612903,0.0,0.0,0.4414529800415039,14.0,0.06666666666666665,-1.0,2.0,0,0.9895678092399404,4.0,0.0,-1,0
9,9,254,59918,0,0.00423912680663574,5,0.0,0.0,0.0,0.0,0.45384615659713745,13.0,0.1333333333333333,0.0,2.0,0,0.9920595533498759,4.0,0.0,-1,0
10,10,277,59918,0,0.004622984745819236,5,0.0,0.0,0.0,0.0,0.45384615659713745,13.0,0.1333333333333333,0.0,2.0,0,0.9920595533498759,4.0,0.0,-1,0
11,11,278,59918,0,0.004639674221435963,4,0.19999999999999996,0.0,0.0,0.0,0.45384615659713745,13.0,0.1333333333333333,0.0,2.0,0,0.9920595533498759,4.0,0.0,-1,0
12,12,279,59918,0,0.00465636369705269,4,0.19999999999999996,0.0,0.0,0.0,0.45384615659713745,13.0,0.1333333333333333,0.0,2.0,0,0.9920595533498759,4.0,0.0,-1,0
13,13,444,17367,0,0.025565728105026775,5,0.0,0.0,0.0,0.0,0.5111111402511597,9.0,0.09999999999999998,-4.0,2.0,0,0.998014888337469,1.0,0.75,-1,0
14,14,446,17455,0,0.025551417931824694,4,0.19999999999999996,1.0,1.0,1.0,1.0,0.0,1.0,10.0,10.0,1,1.0,0.0,1.0,-1,1
15,15,446,44377,0,0.01005025125628145,3,0.4,0.0,0.0,0.0,0.5761904716491699,8.0,0.19999999999999996,-2.0,2.0,0,0.9830929885629041,4.0,0.0,-1,0
16,16,459,17455,0,0.026296190203380143,3,0.4,1.0,1.0,1.0,1.0,0.0,1.0,10.0,10.0,1,1.0,0.0,1.0,-1,1
17,17,459,44377,0,0.010343195799625948,4,0.19999999999999996,0.0,0.0,0.0,0.5761904716491699,8.0,0.19999999999999996,-2.0,2.0,0,0.9830929885629041,4.0,0.0,-1,0
18,18,460,17455,0,0.026353480378115135,4,0.19999999999999996,1.0,1.0,1.0,1.0,0.0,1.0,10.0,10.0,1,1.0,0.0,1.0,-1,1
19,19,460,44377,0,0.010365729995267858,4,0.19999999999999996,0.0,0.0,0.0,0.5761904716491699,8.0,0.19999999999999996,-2.0,2.0,0,0.9830929885629041,4.0,0.0,-1,0
20,20,468,17455,0,0.026811801775995403,4,0.19999999999999996,1.0,1.0,1.0,1.0,0.0,1.0,10.0,10.0,1,1.0,0.0,1.0,-1,1
21,21,468,44377,0,0.010546003560402917,4,0.19999999999999996,0.0,0.0,0.0,0.5761904716491699,8.0,0.19999999999999996,-2.0,2.0,0,0.9830929885629041,4.0,0.0,-1,0
22,22,474,17455,0,0.027155542824405576,3,0.4,1.0,1.0,1.0,1.0,0.0,1.0,10.0,10.0,1,1.0,0.0,1.0,-1,1
